make,price,mileage,gear,fuel,hp,model
"BMW 118 
118i 136cv Msport","€ 29,900","29,900 km",Automatic,Gasoline,,118i
"BMW 118 
F40 118i Advantage 136cv auto","€ 29,900","10,300 km",Automatic,Gasoline,,F40 118i
"BMW 118 
118i Msport 140cv auto","€ 28,400","20,470 km",Automatic,Gasoline,,118i
"BMW 116 
benzina 116i MSport auto","€ 27,300","12,000 km",Automatic,Gasoline,,benzina 118i
"BMW 118 
F40 118i Advantage 136cv auto","€ 29,900","14,200 km",Automatic,Gasoline,,F40 118i
"BMW 118 
F40 118i Advantage 136cv auto","€ 29,900","16,600 km",Automatic,Gasoline,,F40 118i
"BMW 118 
118i F40 Aut 5p Sport Line","€ 27,900","17,073 km",Automatic,Gasoline,,118i
"BMW 118 
118i 5p. Business Advantage","€ 27,900","9,000 km",Automatic,Gasoline,,118i
"BMW 118 
F40 118i Business Advantage 136cv auto","€ 29,900","15,400 km",Automatic,Gasoline,,F40 118i
"BMW 118 
F40 118i Advantage 136cv auto","€ 29,900","16,200 km",Automatic,Gasoline,,F40 118i
"BMW 118 
F40 118i Advantage 136cv auto","€ 29,900","10,500 km",Automatic,Gasoline,,F40 118i
"BMW 118 
118i 5p. Business Advantage","€ 22,900","29,000 km",Automatic,Gasoline,,118i
"BMW 118 
F40 118i Advantage 136cv auto","€ 29,900","18,500 km",Automatic,Gasoline,,F40 118i
"BMW 120 
120i Msport","€ 27,270","28,700 km",Automatic,Gasoline,,118i
"BMW 118 
F40 118i Advantage 136cv auto","€ 29,900","15,500 km",Automatic,Gasoline,,F40 118i
"BMW 116 
116i MSport auto","€ 26,500","27,500 km",Automatic,Gasoline,,118i
"BMW 118 
118i 5p. Business Advantage","€ 22,900","19,800 km",Automatic,Gasoline,,118i
