make,price,mileage,gear,fuel,hp
"BMW 118 
i 1.Hand DigiCockpit Sitzheizung Spurhalteass","€ 24,400.-","21,800 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage DAB Tempomat PDC","€ 20,890.-","11,611 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i ADVANTAGE WLAN NAVI GRA SHZ PDC ALU","€ 21,490.-","27,109 km",Manual,Gasoline,103 kW (140 hp)
"BMW 116 
i Live Cockpit Navi LED AHK LM","€ 23,780.-","8,800 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i Advantage Navi PDC Wireless Charging","€ 20,990.-","17,760 km",Manual,Gasoline,103 kW (140 hp)
"BMW 116 
i Hatch Advantage DAB LED Tempomat Shz PDC","€ 22,990.-","23,559 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
i Hatch Advantage DAB LED Tempomat Shz PDC","€ 19,990.-","28,806 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
i Hatch Advantage DAB LED Tempomat Shz PDC","€ 22,490.-","19,851 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i Advantage Navi Bluetooth PDC MP3 Schn. Klim","€ 19,920.-","28,430 km",Manual,Gasoline,103 kW (140 hp)
"BMW 116 
i Hatch Advantage DAB LED Tempomat Shz PDC","€ 20,990.-","14,477 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
i Hatch DAB Shz PDC","€ 21,990.-","15,044 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
116i Advantage LED Klima SitzH PDC v+h Allwetter","€ 17,450.-","16,500 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
i Advantage Lim. LED Navi DAB W+S","€ 24,900.-","7,800 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
Baureihe 1 Lim. 116 i Advantage","€ 21,900.-","21,800 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
Baureihe 1 Lim wenig km TOP Zustand","€ 14,999.-","10,800 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
118i ADVANTAGE LEDER NAVI GSD PDC ALU SHZ 1.HAND","€ 18,989.-","20,800 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i 5-Türer *FACELIFT*LED*NAVI* BESTELLAKTION*","€ 26,670.-",0 km,Manual,Gasoline,100 kW (136 hp)
"BMW 116 
i LED+Navi-LiveC-Prof+AHK+Sitzh+DAB+PDC","€ 29,500.-",1 km,Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i *SUMMER-BOOST* NAVI. LED. PDC.","€ 26,679.-",6 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage DAB LED WLAN Tempomat Klimaaut.","€ 29,250.-",0 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage / LED / PDC /","€ 26,666.-",0 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
