make,price,mileage,gear,fuel,hp
"BMW 118 
i 5p. Business Advantage","€ 25,900.-","13,900 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
118i 5p. Business Advantage","€ 29,990.-",- km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i 5p. Advantage","€ 28,540.-",- km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
benzina Serie 1 (F40) 5p. Advantage","€ 25,700.-","14,200 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i 5p. Msport","€ 27,900.-","14,000 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i 136cv","€ 25,670.-","17,700 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i 5p. Advantage","€ 29,840.-",- km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i 5p. Advantage","€ 28,800.-",- km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
M SPORT LED 18"" NAVY PRO PELLE IN ARRIVO LIBERA!!","€ 21,300.-","24,500 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118I BUSINESS ADVANTAGE 136CV","€ 29,600.-","11,578 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i 5p. Business Advantage","€ 29,990.-",- km,Manual,Gasoline,100 kW (136 hp)
"BMW 116 
diesel Serie 1 benzina 5p. Msport MANUALE","€ 28,700.-","15,000 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
i 5p. Advantage","€ 28,540.-",- km,Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i Serie 1 (F40) 5p. M sport","€ 29,900.-","16,500 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
118i 5p. Advantage","€ 28,540.-",- km,Manual,Gasoline,100 kW (136 hp)
"BMW 116 
i 5p. Business Advantage","€ 29,190.-",- km,Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i 5p. Business Advantage","€ 24,900.-","24,600 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i F40 M SPORT * navi; led; cruise *","€ 23,000.-","29,980 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
118i 5p. Business Advantage","€ 20,900.-","22,300 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
disponibilità vari colori","€ 27,000.-","21,000 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i 5p. Advantage","€ 28,800.-",- km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i 5p. Business Advantage","€ 29,990.-",- km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i Sport","€ 25,900.-","25,019 km",Manual,Gasoline,103 kW (140 hp)
