make,price,mileage,gear,fuel,hp,model
BMW,"€ 29,900","29,900 km",Automatic,Gasoline,140,118i
BMW,"€ 29,900","10,300 km",Automatic,Gasoline,140,F40 118i
BMW,"€ 27,800",- km,Automatic,Gasoline,140,118i
BMW,"€ 28,400","20,470 km",Automatic,Gasoline,140,118i
BMW,"€ 27,300","12,000 km",Automatic,Gasoline,140,benzina 118i
BMW,"€ 28,650",- km,Automatic,Gasoline,140,118i
BMW,"€ 28,650",- km,Automatic,Gasoline,140,118i
BMW,"€ 27,800",- km,Automatic,Gasoline,140,118i
BMW,"€ 28,650",- km,Automatic,Gasoline,140,118i
BMW,"€ 27,800",- km,Automatic,Gasoline,140,118i
BMW,"€ 29,900","14,200 km",Automatic,Gasoline,140,F40 118i
BMW,"€ 29,900","16,600 km",Automatic,Gasoline,140,F40 118i
BMW,"€ 27,900","17,073 km",Automatic,Gasoline,140,118i
BMW,"€ 27,800",- km,Automatic,Gasoline,140,118i
BMW,"€ 27,900","9,000 km",Automatic,Gasoline,140,118i
BMW,"€ 28,650",- km,Automatic,Gasoline,140,118i
BMW,"€ 29,900","15,400 km",Automatic,Gasoline,140,F40 118i
BMW,"€ 29,900","16,200 km",Automatic,Gasoline,140,F40 118i
BMW,"€ 29,900","10,500 km",Automatic,Gasoline,140,F40 118i
BMW,"€ 22,900","29,000 km",Automatic,Gasoline,140,118i
BMW,"€ 29,900","18,500 km",Automatic,Gasoline,140,F40 118i
BMW,"€ 27,270","28,700 km",Automatic,Gasoline,140,118i
BMW,"€ 29,900","15,500 km",Automatic,Gasoline,140,F40 118i
BMW,"€ 27,800",- km,Automatic,Gasoline,140,118i
BMW,"€ 28,650",- km,Automatic,Gasoline,140,118i
BMW,"€ 29,268",- km,Automatic,Gasoline,140,5-porte 118i
BMW,"€ 26,500","27,500 km",Automatic,Gasoline,140,118i
BMW,"€ 22,900","19,800 km",Automatic,Gasoline,140,118i
