make,price,mileage,gear,fuel,hp
"BMW 118 
.5 136cv S/S 5P Pack M","€ 21,350.-","18,000 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i M Sport","€ 27,000.-","28,500 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i","€ 26,900.-","23,650 km",Manual,Gasoline,103 kW (140 hp)
"BMW 120 
118i 1.5 103KW (140CV) - 5 P (2020)","€ 26,290.-","13,205 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
118i","€ 26,591.-","21,105 km",Manual,Gasoline,100 kW (136 hp)
"BMW 120 
118i 1.5 103KW (140CV) - 5 P (2020)","€ 26,290.-","13,205 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
118i","€ 26,591.-","21,105 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i","€ 23,823.-","26,152 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i","€ 26,591.-","21,105 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i","€ 26,591.-","21,105 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i","€ 20,990.-","29,290 km",Manual,Gasoline,100 kW (136 hp)
"BMW 120 
118i 1.5 103KW (140CV) - 5 P (2020)","€ 26,290.-","13,205 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
118i","€ 23,823.-","26,152 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i","€ 23,823.-","26,152 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i","€ 23,823.-","26,152 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i","€ 23,823.-","26,152 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i","€ 23,823.-","26,152 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i","€ 23,823.-","26,152 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i","€ 23,823.-","26,152 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
.5 136cv S/S 5P Pack M","€ 21,350.-","18,000 km",Manual,Gasoline,100 kW (136 hp)
