make,price,mileage,gear,fuel,hp,model
BMW,"€ 24,400","21,800 km",Manual,Gasoline,136,
BMW,"€ 20,890","11,611 km",Manual,Gasoline,140,
BMW,"€ 21,490","27,109 km",Manual,Gasoline,140,
BMW,"€ 23,780","8,800 km",Manual,Gasoline,109,
BMW,"€ 20,990","17,760 km",Manual,Gasoline,140,
BMW,"€ 22,990","23,559 km",Manual,Gasoline,109,
BMW,"€ 19,990","28,806 km",Manual,Gasoline,109,
BMW,"€ 22,490","19,851 km",Manual,Gasoline,109,
BMW,"€ 19,920","28,430 km",Manual,Gasoline,140,
BMW,"€ 20,990","14,477 km",Manual,Gasoline,109,
BMW,"€ 21,990","15,044 km",Manual,Gasoline,109,
BMW,"€ 17,450","16,500 km",Manual,Gasoline,109,
BMW,"€ 24,900","7,800 km",Manual,Gasoline,109,
BMW,"€ 21,900","21,800 km",Manual,Gasoline,109,
BMW,"€ 14,999","10,800 km",Manual,Gasoline,109,
BMW,"€ 18,989","20,800 km",Manual,Gasoline,136,
BMW,"€ 26,670",0 km,Manual,Gasoline,136,
BMW,"€ 29,500",1 km,Manual,Gasoline,109,
BMW,"€ 26,679",6 km,Manual,Gasoline,136,
BMW,"€ 29,250",0 km,Manual,Gasoline,136,
BMW,"€ 26,666",0 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 26,950",0 km,Manual,Gasoline,136,
BMW,"€ 27,149",0 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 27,190",10 km,Manual,Gasoline,136,
BMW,"€ 28,420",0 km,Manual,Gasoline,109,
BMW,"€ 28,420",0 km,Manual,Gasoline,109,
