make,price,mileage,gear,fuel,hp,model
BMW,"€ 29,990",- km,Manual,Gasoline,136,118i
BMW,"€ 28,540",- km,Manual,Gasoline,136,118i
BMW,"€ 25,670","17,700 km",Manual,Gasoline,136,118i
BMW,"€ 28,800",- km,Manual,Gasoline,136,118i
BMW,"€ 29,600","11,578 km",Manual,Gasoline,136,118I BUSINESS ADVANTAGE 136CV
BMW,"€ 29,990",- km,Manual,Gasoline,136,118i
BMW,"€ 28,540",- km,Manual,Gasoline,136,118i
BMW,"€ 20,900","22,300 km",Manual,Gasoline,140,118i
BMW,"€ 28,800",- km,Manual,Gasoline,136,118i
BMW,"€ 29,990",- km,Manual,Gasoline,136,118i
BMW,"€ 25,900","25,019 km",Manual,Gasoline,140,118i
BMW,"€ 29,000","21,000 km",Manual,Gasoline,140,118i
BMW,"€ 21,500","26,300 km",Manual,Gasoline,136,118i
BMW,"€ 28,540",- km,Manual,Gasoline,136,118i
BMW,"€ 25,400","29,982 km",Manual,Gasoline,140,(F40) 118i
BMW,"€ 21,900","29,552 km",Manual,Gasoline,136,118i
BMW,"€ 28,800",- km,Manual,Gasoline,136,118i
BMW,"€ 24,900","28,000 km",Manual,Gasoline,136,118i
BMW,"€ 24,900","22,000 km",Manual,Gasoline,140,118i
BMW,"€ 24,900","23,700 km",Manual,Gasoline,136,118i
BMW,"€ 29,990",- km,Manual,Gasoline,136,118i
BMW,"€ 28,540",- km,Manual,Gasoline,136,118i
BMW,"€ 22,900","9,500 km",Manual,Gasoline,109,benzina 118i
BMW,"€ 28,800",- km,Manual,Gasoline,136,118i
BMW,"€ 29,700","7,659 km",Manual,Gasoline,136,118i
BMW,"€ 22,800","27,200 km",Manual,Gasoline,140,F40 118i
BMW,"€ 29,373",- km,Manual,Gasoline,140,5-porte 118i
BMW,"€ 25,900","12,702 km",Manual,Gasoline,109,118i
BMW,"€ 23,890","24,119 km",Manual,Gasoline,140,118I ADVANTAGE
BMW,"€ 25,500","26,613 km",Manual,Gasoline,136,118i
BMW,"€ 23,900","9,000 km",Manual,Gasoline,140,118i
BMW,"€ 20,900","13,900 km",Manual,Gasoline,140,118i
BMW,"€ 25,370","11,751 km",Manual,Gasoline,109,118i
BMW,"€ 27,800","21,739 km",Manual,Gasoline,136,118i
BMW,"€ 20,370","29,913 km",Manual,Gasoline,140,118i
BMW,"€ 25,590",- km,Manual,Gasoline,109,118i
BMW,"€ 23,900","29,000 km",Manual,Gasoline,140,118i
BMW,"€ 19,900","27,761 km",Manual,Gasoline,140,118i
